RC106

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
    0      40        50          0          0        230          0
    1      25        85         20         82         95         10
    2      22        75         30        134        148         10
    3      22        85         10         68         83         10
    4      20        80         40        180        194         10
    5      20        85         40        100        117         10
    6      18        75         20        151        165         10
    7      15        75         20        131        145         10
    8      15        80         10         80         93         10
    9      10        35         20        180        193         10
   10       5        35         10         68         85         10
   11      65        55         20        144        156         10
   12      65        60         30         26         37         10
   13      63        58         10        148        163         10
   14      60        55         10        191        203         10
   15      60        60         10        107        121         10
   16       8        40         30         64         80         10
   17       8        45         20         56         70         10
   18       5        45         10        178        192         10
   19       2        40         20         80         96         10
   20       0        40         30         90        105         10
   21       0        45         20        140        152         10
   22      35        30         10        186        200         10
   23      33        32         20         93        106         10
   24      32        30         10         74         89         10
   25      30        30         10         61         76         10
   26      30        32         30        182        195         10
   27      30        35         10        168        179         10
   28      28        30         10         52         65         10
   29      28        35         10         58         72         10
   30      26        32         10         34         48         10
   31      25        85         30        112        127         10
   32      25        30         10        160        174         10
   33      25        35         10        128        139         10
   34      44         5         20        104        118         10
   35      42        10         40        160        171         10
   36      42        15         10        186        199         10
   37      40         5         30         46         62         10
   38      40        15         40         68         79         10
   39      38         5         30        190        203         10
   40      38        15         10         98        113         10
   41      35         5         20          6         17         10
   42      50        30         10        189        203         10
   43      50        35         20        149        162         10
   44      50        40         50        100        116         10
   45      48        30         10        140        154         10
   46      48        40         10         16         30         10
   47      47        35         10         37         51         10
   48      47        40         10        106        119         10
   49      45        30         10        170        184         10
   50      45        35         10        174        186         10
