R109

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
    0      35        35          0          0        230          0
    1      41        49         10        161        171         10
    2      35        17          7         50         60         10
    3      55        45         13        116        126         10
    4      55        20         19        149        159         10
    5      15        30         26         34         44         10
    6      25        30          3         99        109         10
    7      20        50          5         81         91         10
    8      10        43          9         95        105         10
    9      55        60         16         97        107         10
   10      30        60         16        124        134         10
   11      20        65         12         67         77         10
   12      50        35         19         63         73         10
   13      30        25         23        159        169         10
   14      15        10         20         32         42         10
   15      30        50         18        127        137         10
   16      10        20          8        101        111         10
   17       5        30         19        149        159         10
   18      20        40          2         60         70         10
   19      15        60          1         18         28         10
   20      45        65         17        200        210         10
   21      45        20         18        108        118         10
   22      45        10         17        109        119         10
   23      55         5          3        141        151         10
   24      65        35         16         41         51         10
   25      65        20          6        157        167         10
   26      45        30          9        200        210         10
   27      35        40          7        169        179         10
   28      41        37         17        188        198         10
   29      64        42         16         79         89         10
   30      40        60          9         10         20         10
   31      31        52         21        197        207         10
   32      35        69         23         83         93         10
   33      53        52         11         55         65         10
   34      65        55         14         72         82         10
   35      63        65          8          6         16         10
   36       2        60         16        189        199         10
   37      20        20         14        180        190         10
   38       5         5         11         40         50         10
   39      60        12         23         29         39         10
   40      40        25         26        173        183         10
   41      42         7          6         51         61         10
   42      24        12         10        165        175         10
   43      23         3         26        139        149         10
   44      11        14         18         93        103         10
   45       6        38         23        115        125         10
   46       2        48         10        143        153         10
   47       8        56         10         34         44         10
   48      13        52          9         77         87         10
   49       6        68         18         90        100         10
   50      47        47         13         51         61         10
