C107

VEHICLE
NUMBER     CAPACITY
  5         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
    0      40        50          0          0       1236          0
    1      45        68         10         67        122         90
    2      45        70         30         97        152         90
    3      42        66         10        165        220         90
    4      42        68         10        195        250         90
    5      42        65         10        229        284         90
    6      40        69         20        267        322         90
    7      40        66         20        307        362         90
    8      38        68         20        341        396         90
    9      38        70         10        375        430         90
   10      35        66         10        407        462         90
   11      35        69         10        448        503         90
   12      25        85         20        158        213         90
   13      22        75         30         23         78         90
   14      22        85         10        128        183         90
   15      20        80         40         75        130         90
   16      20        85         40        109        164         90
   17      18        75         20         46        101         90
   18      15        75         20         62        117         90
   19      15        80         10         86        141         90
   20      30        50         10        159        214         90
   21      30        52         20        198        253         90
   22      28        52         20        234        289         90
   23      28        55         10        267        322         90
   24      25        50         10        127        182         90
   25      25        52         40        186        241         90
