C107

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
    0      40        50          0          0       1236          0
    1      45        68         10         67        122         90
    2      45        70         30         97        152         90
    3      42        66         10        165        220         90
    4      42        68         10        195        250         90
    5      42        65         10        229        284         90
    6      40        69         20        267        322         90
    7      40        66         20        307        362         90
    8      38        68         20        341        396         90
    9      38        70         10        375        430         90
   10      35        66         10        407        462         90
   11      35        69         10        448        503         90
   12      25        85         20        158        213         90
   13      22        75         30         23         78         90
   14      22        85         10        128        183         90
   15      20        80         40         75        130         90
   16      20        85         40        109        164         90
   17      18        75         20         46        101         90
   18      15        75         20         62        117         90
   19      15        80         10         86        141         90
   20      30        50         10        159        214         90
   21      30        52         20        198        253         90
   22      28        52         20        234        289         90
   23      28        55         10        267        322         90
   24      25        50         10        127        182         90
   25      25        52         40        186        241         90
   26      25        55         10        222        277         90
   27      23        52         10        235        290         90
   28      23        55         20        256        311         90
   29      20        50         10        156        211         90
   30      20        55         10        184        239         90
   31      10        35         20        149        204         90
   32      10        40         30         91        146         90
   33       8        40         40        110        165         90
   34       8        45         20        181        236         90
   35       5        35         10        133        188         90
   36       5        45         10        204        259         90
   37       2        40         20        164        219         90
   38       0        40         30        195        250         90
   39       0        45         20        227        282         90
   40      35        30         10        236        291         90
   41      35        32         10        207        262         90
   42      33        32         20        165        220         90
   43      33        35         10        185        240         90
   44      32        30         10        176        231         90
   45      30        30         10        112        167         90
   46      30        32         30        143        198         90
   47      30        35         10        143        198         90
   48      28        30         10        101        156         90
   49      28        35         10        143        198         90
   50      26        32         10        126        181         90
