C206

VEHICLE
NUMBER     CAPACITY
  5         700

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
    0      40        50          0          0       3390          0
    1      45        68         10        250        551         90
    2      45        70         30        300        561         90
    3      42        66         10        157        468         90
    4      42        68         10        220        531         90
    5      42        65         10        125        436         90
    6      40        69         20        270        561         90
    7      40        66         20        137        448         90
    8      38        68         20        167        478         90
    9      38        70         10        320        591         90
   10      35        66         10        197        508         90
   11      35        69         10        250        551         90
   12      25        85         20        270        551         90
   13      22        75         30         70        381         90
   14      22        85         10        240        531         90
   15      20        80         40        150        461         90
   16      20        85         40        190        501         90
   17      18        75         20        100        411         90
   18      15        75         20        110        421         90
   19      15        80         10        130        441         90
   20      30        50         10         82        393         90
   21      30        52         20        122        433         90
   22      28        52         20        158        469         90
   23      28        55         10        192        503         90
   24      25        50         10         62        373         90
   25      25        52         40        102        413         90
