C107

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
    0      40        50          0          0       1236          0
    1      45        68         10         67        122         90
    2      45        70         30         97        152         90
    3      42        66         10        165        220         90
    4      42        68         10        195        250         90
    5      42        65         10        229        284         90
    6      40        69         20        267        322         90
    7      40        66         20        307        362         90
    8      38        68         20        341        396         90
    9      38        70         10        375        430         90
   10      35        66         10        407        462         90
   11      35        69         10        448        503         90
   12      25        85         20        158        213         90
   13      22        75         30         23         78         90
   14      22        85         10        128        183         90
   15      20        80         40         75        130         90
   16      20        85         40        109        164         90
   17      18        75         20         46        101         90
   18      15        75         20         62        117         90
   19      15        80         10         86        141         90
   20      30        50         10        159        214         90
   21      30        52         20        198        253         90
   22      28        52         20        234        289         90
   23      28        55         10        267        322         90
   24      25        50         10        127        182         90
   25      25        52         40        186        241         90
   26      25        55         10        222        277         90
   27      23        52         10        235        290         90
   28      23        55         20        256        311         90
   29      20        50         10        156        211         90
   30      20        55         10        184        239         90
   31      10        35         20        149        204         90
   32      10        40         30         91        146         90
   33       8        40         40        110        165         90
   34       8        45         20        181        236         90
   35       5        35         10        133        188         90
   36       5        45         10        204        259         90
   37       2        40         20        164        219         90
   38       0        40         30        195        250         90
   39       0        45         20        227        282         90
   40      35        30         10        236        291         90
   41      35        32         10        207        262         90
   42      33        32         20        165        220         90
   43      33        35         10        185        240         90
   44      32        30         10        176        231         90
   45      30        30         10        112        167         90
   46      30        32         30        143        198         90
   47      30        35         10        143        198         90
   48      28        30         10        101        156         90
   49      28        35         10        143        198         90
   50      26        32         10        126        181         90
   51      25        30         10         87        142         90
   52      25        35         10        115        170         90
   53      44         5         20        217        272         90
   54      42        10         40        185        240         90
   55      42        15         10        162        217         90
   56      40         5         30        261        316         90
   57      40        15         40        139        194         90
   58      38         5         30        283        338         90
   59      38        15         10        149        204         90
   60      35         5         20        304        359         90
   61      50        30         10        224        279         90
   62      50        35         20        203        258         90
   63      50        40         50        180        235         90
   64      48        30         10        256        311         90
   65      48        40         10        172        227         90
   66      47        35         10        195        250         90
   67      47        40         10        170        225         90
   68      45        30         10        289        344         90
   69      45        35         10        195        250         90
   70      95        30         30        595        650         90
   71      95        35         20        569        624         90
   72      53        30         10        240        295         90
   73      92        30         10        566        621         90
   74      53        35         50        211        266         90
   75      45        65         20        352        407         90
   76      90        35         10        551        606         90
   77      88        30         10        578        633         90
   78      88        35         20        527        582         90
   79      87        30         10        594        649         90
   80      85        25         10        620        675         90
   81      85        35         30        499        554         90
   82      75        55         20        436        491         90
   83      72        55         10        451        506         90
   84      70        58         20        478        533         90
   85      68        60         30        502        557         90
   86      66        55         10        468        523         90
   87      65        55         20        459        514         90
   88      65        60         30        525        580         90
   89      63        58         10        518        573         90
   90      60        55         10        489        544         90
   91      60        60         10        545        600         90
   92      67        85         20        601        656         90
   93      65        85         40        658        713         90
   94      65        82         10        626        681         90
   95      62        80         30        639        694         90
   96      60        80         10        654        709         90
   97      60        85         30        701        756         90
   98      58        75         20        673        728         90
   99      55        80         10        712        767         90
  100      55        85         20        742        797         90
